question,answer
What are the side effects I have to consider when taking ABSIMKY,"difficulty breathing or swallowing, low blood pressure, swelling of the face, lips, mouth or throat, fever, cough, shortness of breath, sinus infection, cellulitis, shingles, infections of the nose or throat and common cold, chest infections, erythrodermic psoriasis, exfoliative dermatitis, tooth infections, vaginal yeast infection, depression, blocked or stuffy nose, bleeding, bruising, hardness, swelling and itching where the injection is given, feeling weak, facial palsy, Bell's palsy, pustular psoriasis, skin exfoliation, acne, redness and shedding of skin over a larger area of the body, vasculitis, blistering of the skin that may be red, itchy, and painful, Bullous pemphigoid, skin lupus or lupus-like syndrome, visual disturbance or vision loss, headache, neck stiffness, light sensitivity, nausea, diarrhoea, burning when passing water"
How to use the medicine ABSIMKY?,"ABSIMKY is intended for use under the guidance and supervision of a doctor experienced in the diagnosis and treatment of Crohn’s disease or ulcerative colitis. ABSIMKY 130 mg concentrate for solution for infusion will be given to you by your doctor, through a drip in the vein of your arm (intravenous infusion) over at least one hour."
For what is the medicine ABSIMKY used for and what are the active ingredients?,"ABSIMKY contains the active substance 'ustekinumab', a monoclonal antibody. It is used to treat moderate to severe Crohn's disease and ulcerative colitis in adults."
When should I NOT use the medicine ABSIMKY?,"If you are allergic to ustekinumab or any of the other ingredients of this medicine (listed in section 6), If you have an active infection which your doctor thinks is important."
When should I not use the medicine IXCHIQ?,"If you are allergic to the active substance or any of the other ingredients of this vaccine (listed in section 6), If your immune system has a reduced ability to fight infections and other diseases (immunodeficiency) or you have a weakened immune system (immunocompromised) because of a disease or a medicine (such as cancer and chemotherapy, inherited immune problems, long-term use of drugs that weaken the immune system such as corticosteroids or immunosuppressants, or HIV infection)."
For what is the medicine IXCHIQ used for and what are the active ingredients?,IXCHIQ is a vaccine that helps protect adults aged 18 years and older against disease caused by the Chikungunya virus (CHIKV). The vaccine contains a form of the virus that has been weakened in the laboratory so it can not multiply.
How to use the medicine IXCHIQ?,"IXCHIQ is given as a single injection of 0.5 mL into the muscle of your upper arm by a doctor, pharmacist or nurse."
What are the side effects I have to consider when taking IXCHIQ,"difficulty breathing, hoarseness or wheezing, hives or rash, swelling of your lips, face or throat, dizziness, weakness, fast heartbeat, headache, feeling sick (nausea), tiredness (fatigue), muscle pain (myalgia), joint pain (arthralgia), fever, tenderness, pain, redness (erhytema), hardening (induration) or, swelling, itching where the injection is given, low levels of white blood cells, high levels of liver enzymes, as measured in blood tests, swollen lymph nodes (lymphadenopathy), skin rash, chills, back pain, diarrhoea, vomiting, dizziness, pins and needles, a burning or prickling sensation that is usually felt in the hands, arms, legs, or feet (paraesthesia), eye pain, ringing or buzzing in the ears (tinnitus), shortness of breath (dyspnoea), excessive sweating (hyperhidrosis), physical weakness (asthenia), swelling of lower legs or hands (peripheral oedema), low amounts of water and sodium in the blood (hypovolaemic hyponatraemia)"
When should I NOT use the medicine Opuviz?,"if you are allergic to aflibercept or any of the other ingredients of this medicine (listed in section 6), if you have an active or suspected infection in or around the eye (ocular or periocular infection), if you have severe inflammation of the eye (indicated by pain or redness)"
For what is the medicine Opuviz used for and what are the active ingredients?,"Opuviz is a solution which is injected into the eye to treat eye conditions in adults called - neovascular (wet) age-related macular degeneration (wet AMD), impaired vision due to macular oedema secondary to retinal vein occlusion (branch RVO or central RVO), impaired vision due to diabetic macular oedema (DME), and impaired vision due to myopic choroidal neovascularisation (myopic CNV). The active substance in Opuviz is Aflibercept, which blocks the activity of Vascular Endothelial Growth Factor A (VEGF-A) and Placental Growth Factor (PlGF)."
How to use the medicine Opuviz?,"A healthcare professional will inject Opuviz into your eye under aseptic (clean and sterile) conditions. Before the injection, your doctor will clean your eye carefully with a disinfectant eyewash and give you a local anaesthetic to reduce or prevent any pain."
What are the side effects I have to consider when taking Opuviz,"allergic reactions (hypersensitivity), deterioration of eyesight, bleeding in the back of the eye (retinal haemorrhage), bloodshot eye caused by bleeding from small blood vessels in the outer layers of the eye, eye pain, detachment or tear of one of the layers in the back of the eye, degeneration of the retina causing disturbed vision, certain forms of clouding of the lens (cataract), damage to the front layer of the eyeball (the cornea), increase in eye pressure, moving spots in vision (floaters), detachment of the gel-like substance inside the eye from the retina, a feeling of having something in the eye, increased tear production, swelling of the eyelid, bleeding at the injection site, redness of the eye, allergic reactions like rash, itching (pruritus), hives (urticaria), severe allergy (anaphylactic/anaphylactoid) reactions, serious inflammation or infection inside the eye (endophthalmitis), inflammation in the iris or other parts of the eye (iritis, uveitis, iridocyclitis, anterior chamber flare), abnormal sensation in the eye, eyelid irritation, swelling of the front layer of the eyeball (cornea), blindness, clouding of the lens due to injury (traumatic cataract), inflammation of the gel-like substance inside the eye, pus in the eye, arterial thromboembolic events, formation of antibodies"
